distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,DR Depo TALAMADUGU  Talamadugu,12,2023,39,1069,0,1108,131,3261,0,3392,1365,19566,0,20931,35,2531,0,2566,1330,17035,0,18365,0,0,0,0,0,100.0,1330,17035,0,18365
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,12,2023,20,564,0,584,70,1807,0,1877,700,10842,0,11542,0,870,0,870,700,9972,0,10672,0,0,0,0,0,100.0,700,9972,0,10672
532,Adilabad,532001,Talamadugu,1901003,Sakipelli Gajanan  Umdam,12,2023,17,275,0,292,60,892,0,952,595,5352,0,5947,35,580,0,615,560,4772,0,5332,0,0,0,0,0,100.0,560,4772,0,5332
532,Adilabad,532001,Talamadugu,1901004,Rebbathi Rakesh  Lingi,12,2023,14,390,1,405,45,1302,1,1348,490,7812,10,8312,0,753,0,753,490,7059,10,7559,0,0,0,0,0,100.0,490,7059,10,7559
532,Adilabad,532001,Talamadugu,1901005,T Manohar  Kuchulapur,12,2023,156,814,0,970,528,2800,0,3328,5460,16800,0,22260,35,936,0,971,5425,15864,0,21289,0,0,0,0,0,100.0,5425,15864,0,21289
532,Adilabad,532001,Talamadugu,1901006,K Subash  Khodad,12,2023,40,490,0,530,122,1498,0,1620,1400,8988,0,10388,35,414,0,449,1365,8574,0,9939,0,0,0,0,0,100.0,1365,8574,0,9939
532,Adilabad,532001,Talamadugu,1901007,Bitla Swaroopa  Ruyyadi,12,2023,11,540,0,551,43,1628,0,1671,385,9768,0,10153,0,1206,0,1206,385,8562,0,8947,0,0,0,0,0,100.0,385,8562,0,8947
532,Adilabad,532001,Talamadugu,1901008,DR DEPO UMRI  Umri,12,2023,66,302,0,368,209,959,0,1168,2310,5754,0,8064,70,60,0,130,2240,5694,0,7934,0,0,0,0,0,100.0,2240,5694,0,7934
532,Adilabad,532001,Talamadugu,1901009,DR DEPO PALSI B  Palsi-B,12,2023,22,315,0,337,81,1160,0,1241,770,6960,0,7730,0,288,0,288,770,6672,0,7442,0,0,0,0,0,100.0,770,6672,0,7442
532,Adilabad,532001,Talamadugu,1901010,G Jyothi  Bharampur,12,2023,117,802,0,919,399,2728,0,3127,4095,16368,0,20463,0,360,0,360,4095,16008,0,20103,0,0,0,0,0,100.0,4095,16008,0,20103
532,Adilabad,532001,Talamadugu,1901011,Md Musa  Khajjarla,12,2023,9,590,1,600,28,1826,1,1855,315,10956,10,11281,0,1086,10,1096,315,9870,0,10185,0,0,0,0,0,100.0,315,9870,0,10185
532,Adilabad,532001,Talamadugu,1901012,Md Musa  Devapur,12,2023,28,835,0,863,72,2705,0,2777,980,16230,0,17210,0,918,0,918,980,15312,0,16292,0,0,0,0,0,100.0,980,15312,0,16292
532,Adilabad,532001,Talamadugu,1901013,K Ramulu  Palli -B,12,2023,23,429,0,452,70,1417,0,1487,805,8502,0,9307,0,426,0,426,805,8076,0,8881,0,0,0,0,0,100.0,805,8076,0,8881
532,Adilabad,532001,Talamadugu,1901014,A Shamrao  Palli -K,12,2023,9,172,0,181,20,544,0,564,315,3264,0,3579,0,192,0,192,315,3072,0,3387,0,0,0,0,0,100.0,315,3072,0,3387
532,Adilabad,532001,Talamadugu,1901015,Kandi Narendar  Arli -K,12,2023,64,357,0,421,234,1074,0,1308,2240,6444,0,8684,175,1260,0,1435,2065,5184,0,7249,0,0,0,0,0,100.0,2065,5184,0,7249
532,Adilabad,532001,Talamadugu,1901016,"DR DEPO PUNAGUDA  Jhari,poonaguda",12,2023,54,810,0,864,194,2817,0,3011,1890,16902,0,18792,35,1483,0,1518,1855,15419,0,17274,0,0,0,0,0,100.0,1855,15419,0,17274
532,Adilabad,532002,Tamsi,1902001,DR DEPO TAMSI-B  DR DEPOT TAMSI-B,12,2023,53,757,0,810,183,2289,0,2472,1855,13734,0,15589,70,752,0,822,1785,12982,0,14767,0,0,0,0,0,100.0,1785,12982,0,14767
532,Adilabad,532002,Tamsi,1902002,DR DEPO GIRGAON  DR DEPOT  GIRGAON,12,2023,38,449,0,487,145,1631,0,1776,1330,9786,0,11116,81,1350,0,1431,1249,8436,0,9685,0,0,0,0,0,100.0,1249,8436,0,9685
532,Adilabad,532002,Tamsi,1902003,Surram Bhumanna  1-78 WADDADI,12,2023,22,318,0,340,80,1008,0,1088,770,6048,0,6818,35,276,0,311,735,5772,0,6507,0,0,0,0,0,100.0,735,5772,0,6507
532,Adilabad,532002,Tamsi,1902004,A Mohan  HASNAPUR,12,2023,12,231,0,243,42,672,0,714,420,4032,0,4452,35,128,0,163,385,3904,0,4289,0,0,0,0,0,100.0,385,3904,0,4289
532,Adilabad,532002,Tamsi,1902005,T Rudra Devi  H.NO.2-47 PONNARI,12,2023,41,595,0,636,127,1852,0,1979,1435,11112,0,12547,29,205,0,234,1406,10907,0,12313,0,0,0,0,0,100.0,1406,10907,0,12313
