distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,Salesman.Pendur Laxman  Talamadugu,1,2022,39,1078,0,1117,132,3355,0,3487,2025,33550,0,35575,35,1485,0,1520,1990,32065,0,34055,0,0,0,0,0,100.0,1990,32065,0,34055
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,1,2022,18,571,0,589,65,1855,0,1920,955,18550,0,19505,70,985,0,1055,885,17565,0,18450,0,0,0,0,0,100.0,885,17565,0,18450
532,Adilabad,532001,Talamadugu,1901003,Gajanan  Umdam,1,2022,17,276,0,293,60,910,0,970,895,9100,0,9995,35,355,0,390,860,8745,0,9605,0,0,0,0,0,100.0,860,8745,0,9605
532,Adilabad,532001,Talamadugu,1901004,R.Rakesh  Lingi,1,2022,14,392,1,407,46,1319,1,1366,720,13190,15,13925,0,235,0,235,720,12955,15,13690,0,0,0,0,0,100.0,720,12955,15,13690
532,Adilabad,532001,Talamadugu,1901005,Manohar  Kuchulapur,1,2022,148,825,0,973,514,2871,0,3385,7750,28710,0,36460,140,542,0,682,7610,28168,0,35778,0,0,0,0,0,100.0,7610,28168,0,35778
532,Adilabad,532001,Talamadugu,1901006,K.Subash  Khodad,1,2022,36,495,0,531,109,1548,0,1657,1805,15480,0,17285,35,385,0,420,1770,15095,0,16865,0,0,0,0,0,100.0,1770,15095,0,16865
532,Adilabad,532001,Talamadugu,1901007,B.Swarupa  Ruyyadi,1,2022,9,549,0,558,35,1685,0,1720,490,16850,0,17340,0,885,0,885,490,15965,0,16455,0,0,0,0,0,100.0,490,15965,0,16455
532,Adilabad,532001,Talamadugu,1901008,Salesman.Bharath  Umri,1,2022,67,303,0,370,216,995,0,1211,3425,9950,0,13375,175,375,0,550,3250,9575,0,12825,0,0,0,0,0,100.0,3250,9575,0,12825
532,Adilabad,532001,Talamadugu,1901009,Salesman.Bharath  Palsi-B,1,2022,19,321,0,340,69,1200,0,1269,1010,12000,0,13010,0,20,0,20,1010,11980,0,12990,0,0,0,0,0,100.0,1010,11980,0,12990
532,Adilabad,532001,Talamadugu,1901010,G.Jyothi  Bharampur,1,2022,115,810,0,925,393,2812,0,3205,5990,28120,0,34110,105,895,0,1000,5885,27225,0,33110,0,0,0,0,0,100.0,5885,27225,0,33110
532,Adilabad,532001,Talamadugu,1901011,Ganganna  Khajjarla,1,2022,5,602,1,608,13,1888,1,1902,240,18880,15,19135,70,1120,15,1205,170,17760,0,17930,0,0,0,0,0,100.0,170,17760,0,17930
532,Adilabad,532001,Talamadugu,1901012,MD.Musa  Devapur,1,2022,29,837,0,866,73,2767,0,2840,1380,27670,0,29050,35,730,0,765,1345,26940,0,28285,0,0,0,0,0,100.0,1345,26940,0,28285
532,Adilabad,532001,Talamadugu,1901013,K.Ramulu  Palli -B,1,2022,23,430,0,453,72,1467,0,1539,1165,14670,0,15835,35,195,0,230,1130,14475,0,15605,0,0,0,0,0,100.0,1130,14475,0,15605
532,Adilabad,532001,Talamadugu,1901014,A.Shyam Rao  Palli -K,1,2022,10,171,0,181,22,556,0,578,460,5560,0,6020,105,160,0,265,355,5400,0,5755,0,0,0,0,0,100.0,355,5400,0,5755
532,Adilabad,532001,Talamadugu,1901015,Kandi Narender  Arli -K,1,2022,72,361,0,433,257,1098,0,1355,3805,10980,0,14785,315,555,0,870,3490,10425,0,13915,0,0,0,0,0,100.0,3490,10425,0,13915
532,Adilabad,532001,Talamadugu,1901016,"Salesman.Pendur Laxman  Jhari,poonaguda",1,2022,50,817,0,867,184,2905,0,3089,2670,29050,0,31720,0,825,0,825,2670,28225,0,30895,0,0,0,0,0,100.0,2670,28225,0,30895
