distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
936,Rajanna Siricilla,936008,SIRCILLA,3908035,"BANDARI VENU  H.NO.9-3-85, NEHRU NAGAR SIRICILLA",6,2025,126,417,0,543,357,1297,0,1654,13230,23346,0,36576,1820,3186,0,5006,11410,20160,0,31570,0,0,0,0,0,100.0,11410,20160,0,31570
936,Rajanna Siricilla,936008,SIRCILLA,3908036,KASARLA BHANU PRAKASH  H.NO.10-6-103/1 BY NAGAR SIRICILLA,6,2025,117,508,1,626,286,1592,1,1879,12285,28656,30,40971,1610,3178,0,4788,10675,25478,30,36183,0,0,0,0,0,100.0,10675,25478,30,36183
936,Rajanna Siricilla,936008,SIRCILLA,3908037,"AKUNOORI ABHISHEKAR  H.NO.10-2-45,INDIRA NAGAR SIRICILLA",6,2025,133,461,1,595,330,1445,1,1776,13965,26010,30,40005,1120,108,10,1238,12845,25902,20,38767,0,0,0,0,0,100.0,12845,25902,20,38767
936,Rajanna Siricilla,936008,SIRCILLA,3908038,"KODURI MANASA W/O VENKATESHAM  H.NO.10-8-101, BY NAGAR SIRICILLA",6,2025,151,368,2,521,423,1207,2,1632,15855,21726,60,37641,1540,2298,0,3838,14315,19428,60,33803,0,0,0,0,0,100.0,14315,19428,60,33803
936,Rajanna Siricilla,936008,SIRCILLA,3908039,"GOLLAPELLI MANI SAI KRISHNA  H.NO.12-16-14, SHIVANAGAR SIRICILLA",6,2025,141,423,2,566,385,1393,2,1780,14805,25074,60,39939,1925,2028,0,3953,12880,23046,60,35986,0,0,0,0,0,100.0,12880,23046,60,35986
936,Rajanna Siricilla,936008,SIRCILLA,3908040,"NIMMALA NARMADA W/O VINOD  H.NO.2-28,RAGUDU, SIRICILLA",6,2025,40,490,0,530,87,1462,0,1549,4200,26316,0,30516,350,690,0,1040,3850,25626,0,29476,0,0,0,0,0,100.0,3850,25626,0,29476
936,Rajanna Siricilla,936008,SIRCILLA,3908041,"Veeragoni Vijayalaxmi  1-95, Chandrampet",6,2025,28,643,5,676,68,2153,5,2226,2940,38754,150,41844,0,2730,20,2750,2940,36024,130,39094,0,0,0,0,0,100.0,2940,36024,130,39094
936,Rajanna Siricilla,936008,SIRCILLA,3908042,"PANGA LAXMAN  2-67, Bonala",6,2025,34,270,1,305,70,819,1,890,3570,14742,30,18342,70,0,0,70,3500,14742,30,18272,0,0,0,0,0,100.0,3500,14742,30,18272
936,Rajanna Siricilla,936008,SIRCILLA,3908043,"BADUGU KISHTAIAH  3-39/1, Peddur",6,2025,92,677,0,769,266,2120,0,2386,9660,38160,0,47820,105,0,0,105,9555,38160,0,47715,0,0,0,0,0,100.0,9555,38160,0,47715
936,Rajanna Siricilla,936008,SIRCILLA,3908044,"BURRA PRAMEELA  7-53, Rajeevnagar",6,2025,224,652,2,878,561,2084,2,2647,23520,37512,60,61092,1505,2202,0,3707,22015,35310,60,57385,0,0,0,0,0,100.0,22015,35310,60,57385
936,Rajanna Siricilla,936008,SIRCILLA,3908045,KHATHAM ANIL  JAGGARAOPALLI SIRICILLA,6,2025,8,253,0,261,26,750,0,776,840,13500,0,14340,0,552,0,552,840,12948,0,13788,0,0,0,0,0,100.0,840,12948,0,13788
936,Rajanna Siricilla,936008,SIRCILLA,3908046,"GUDEPU SAI KUMAR  H.NO.8-23, MUSTIPALLI SIRICILLA",6,2025,132,483,4,619,307,1434,4,1745,13860,25812,120,39792,1085,1770,0,2855,12775,24042,120,36937,0,0,0,0,0,100.0,12775,24042,120,36937
936,Rajanna Siricilla,936008,SIRCILLA,3908047,"AJMEERA @ BANOTH RAJITHA W/O RAVINDER  H.NO.3-42/A, CHINNA BONALA SIRICILLA",6,2025,36,495,1,532,87,1459,1,1547,3780,26262,30,30072,140,252,0,392,3640,26010,30,29680,0,0,0,0,0,100.0,3640,26010,30,29680
936,Rajanna Siricilla,936008,SIRCILLA,3908048,"POLU @ GUNDETI MADHAVI W/O SAMPATH  H.NO.1-65, CHANDRAMPETA SIRICILLA",6,2025,40,437,2,479,109,1377,2,1488,4200,24786,60,29046,280,1764,10,2054,3920,23022,50,26992,0,0,0,0,0,100.0,3920,23022,50,26992
936,Rajanna Siricilla,936008,SIRCILLA,3908049,"PANTHAM SAAHU  H.NO.6-6,MALAPALLE, PEDDUR SIRICILLA",6,2025,21,348,0,369,68,1237,0,1305,2205,22266,0,24471,70,2104,0,2174,2135,20162,0,22297,0,0,0,0,0,100.0,2135,20162,0,22297
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909001,"Manthri Hemalatha  3-24, Kasbekatkur",6,2025,18,301,0,319,57,884,0,941,1890,15912,0,17802,70,432,0,502,1820,15480,0,17300,0,0,0,0,0,100.0,1820,15480,0,17300
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909002,"kothapalli Beemchandram  1-12, Ankireddypally",6,2025,48,384,0,432,107,1121,0,1228,5040,20178,0,25218,175,938,0,1113,4865,19240,0,24105,0,0,0,0,0,100.0,4865,19240,0,24105
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909003,"Chekkapalli Babai  3-62, Mandepally",6,2025,12,646,2,660,37,1817,2,1856,1260,32706,60,34026,0,0,10,10,1260,32706,50,34016,0,0,0,0,0,100.0,1260,32706,50,34016
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909004,"ODNALA @ KODAM UMA W/O SRIDHAR  H.NO.8-68, THANGALLAPALLI",6,2025,44,599,0,643,107,1827,0,1934,4620,32886,0,37506,0,42,0,42,4620,32844,0,37464,0,0,0,0,0,100.0,4620,32844,0,37464
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909005,"Asani Laxmareddy  2-81, Thangallapally",6,2025,59,717,0,776,161,2232,0,2393,6195,40176,0,46371,0,0,0,0,6195,40176,0,46371,0,0,0,0,0,100.0,6195,40176,0,46371
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909006,Siliveri Prasuna  Baddenapally Vill.,6,2025,34,467,0,501,86,1421,0,1507,3570,25578,0,29148,210,374,0,584,3360,25204,0,28564,0,0,0,0,0,100.0,3360,25204,0,28564
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909007,"Chennamaneni Indra  2-39, Sarampally",6,2025,16,511,0,527,36,1567,0,1603,1680,28206,0,29886,0,381,0,381,1680,27825,0,29505,0,0,0,0,0,100.0,1680,27825,0,29505
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909008,"RANGINENI @ KASUGANTI RAMYA D/O RAMACHANDRAM  H.NO.4-109, NERELLA THANGALLAPALLI",6,2025,46,458,3,507,122,1429,3,1554,4830,25722,90,30642,140,798,10,948,4690,24924,80,29694,0,0,0,0,0,100.0,4690,24924,80,29694
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909009,"Koduri Padma  2-51, Jillella",6,2025,80,699,1,780,166,1971,1,2138,8400,35478,30,43908,385,2844,10,3239,8015,32634,20,40669,0,0,0,0,0,100.0,8015,32634,20,40669
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909010,"Boddu Dhurgaiah  2-08/1, Ramchandrapur",6,2025,9,315,0,324,25,995,0,1020,945,17910,0,18855,0,570,0,570,945,17340,0,18285,0,0,0,0,0,100.0,945,17340,0,18285
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909011,"RAMARAM @ GURRAM PRATHIBHA W/O RAVINDHAR  H.NO.3-21, CHINNALINGAPUR, THANGALLAPALLI",6,2025,42,382,0,424,117,1192,0,1309,4410,21456,0,25866,280,990,0,1270,4130,20466,0,24596,0,0,0,0,0,100.0,4130,20466,0,24596
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909012,"PONNAM SRINIVAS  1-115, Baswapur",6,2025,44,415,0,459,93,1259,0,1352,4620,22662,0,27282,315,1212,0,1527,4305,21450,0,25755,0,0,0,0,0,100.0,4305,21450,0,25755
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909013,"Jakkula Pushpalatha  4-28, Ramannapally",6,2025,41,370,0,411,121,1100,0,1221,4305,19800,0,24105,35,420,0,455,4270,19380,0,23650,0,0,0,0,0,100.0,4270,19380,0,23650
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909014,"Gurram Renuka  3-74, Thadur",6,2025,15,375,1,391,40,1079,1,1120,1575,19422,30,21027,105,756,0,861,1470,18666,30,20166,0,0,0,0,0,100.0,1470,18666,30,20166
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909015,"Aluri Maruthi S/o Late.Jayasimha  1-78, Gopalraopally",6,2025,24,541,0,565,56,1574,0,1630,2520,28332,0,30852,175,1434,0,1609,2345,26898,0,29243,0,0,0,0,0,100.0,2345,26898,0,29243
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909016,"Mallarapu Martha  1-97, Laxmipur",6,2025,30,402,0,432,88,1111,0,1199,3150,19998,0,23148,140,528,0,668,3010,19470,0,22480,0,0,0,0,0,100.0,3010,19470,0,22480
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909017,"RONDLA BHAGYALAXMI  2-11, Ankusapur",6,2025,35,558,0,593,87,1674,0,1761,3675,30132,0,33807,140,750,0,890,3535,29382,0,32917,0,0,0,0,0,100.0,3535,29382,0,32917
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909021,"Lingam Balaraju  2-72/2B, Thangallapally",6,2025,50,457,0,507,123,1405,0,1528,5250,25290,0,30540,0,162,0,162,5250,25128,0,30378,0,0,0,0,0,100.0,5250,25128,0,30378
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909022,"Pandi Yadaiah  2-54, Jillella",6,2025,56,527,1,584,116,1597,1,1714,5880,28746,30,34656,0,192,0,192,5880,28554,30,34464,0,0,0,0,0,100.0,5880,28554,30,34464
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909023,"Balusani Parsharam  1-108, Rallapet",6,2025,31,376,0,407,66,1116,0,1182,3255,20088,0,23343,105,366,0,471,3150,19722,0,22872,0,0,0,0,0,100.0,3150,19722,0,22872
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909024,Alwala Sarala  Oblapur,6,2025,39,351,0,390,82,1079,0,1161,4095,19422,0,23517,315,1428,0,1743,3780,17994,0,21774,0,0,0,0,0,100.0,3780,17994,0,21774
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909025,DUSA DIVYA D/O RAMESH  PADMANAGAR THANGALLAPALLI,6,2025,36,276,1,313,94,829,1,924,3780,14922,30,18732,70,0,0,70,3710,14922,30,18662,0,0,0,0,0,100.0,3710,14922,30,18662
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909026,"BATTINI @ BALASANI SRILATHA W/O SHYAM  H.NO.14-156, INDIRA NAGAR, THANGALLAPLLI",6,2025,34,237,1,272,80,775,1,856,3570,13950,30,17550,420,1800,0,2220,3150,12150,30,15330,0,0,0,0,0,100.0,3150,12150,30,15330
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909027,Ballepu Laxmi  Gandilachapet,6,2025,2,301,0,303,4,886,0,890,210,15948,0,16158,0,246,0,246,210,15702,0,15912,0,0,0,0,0,100.0,210,15702,0,15912
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909028,"JANGIDI @ SAMA PRASHANTHI W/O THIRUPATHI REDDY  H.NO.1-57/1, VENUGOPALPUR THANGALLAPALLI",6,2025,9,168,0,177,31,463,0,494,945,8334,0,9279,35,558,0,593,910,7776,0,8686,0,0,0,0,0,100.0,910,7776,0,8686
936,Rajanna Siricilla,936009,THANGALLAPALLY,3909029,"SANKARI SRINIVAS  H.NO.105/1, KCR NAGAR, MANDEPALLI ,THANGALLAPALLI",6,2025,55,346,1,402,162,979,1,1142,5775,17622,30,23427,0,1191,0,1191,5775,16431,30,22236,0,0,0,0,0,100.0,5775,16431,30,22236
