distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,Salesman.Pendur Laxman  Talamadugu,1,2023,39,1069,0,1108,131,3266,0,3397,1365,16330,0,17695,50,2870,0,2920,1315,13460,0,14775,0,0,0,0,0,100.0,1315,13460,0,14775
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,1,2023,19,565,0,584,66,1815,0,1881,665,9075,0,9740,65,1460,0,1525,600,7615,0,8215,0,0,0,0,0,100.0,600,7615,0,8215
532,Adilabad,532001,Talamadugu,1901003,Gajanan  Umdam,1,2023,17,276,0,293,60,895,0,955,595,4475,0,5070,45,770,0,815,550,3705,0,4255,0,0,0,0,0,100.0,550,3705,0,4255
532,Adilabad,532001,Talamadugu,1901004,R.Rakesh  Lingi,1,2023,14,390,1,405,45,1307,1,1353,490,6535,10,7035,0,1110,0,1110,490,5425,10,5925,0,0,0,0,0,100.0,490,5425,10,5925
532,Adilabad,532001,Talamadugu,1901005,Manohar  Kuchulapur,1,2023,155,816,0,971,525,2820,0,3345,5425,14100,0,19525,45,1310,0,1355,5380,12790,0,18170,0,0,0,0,0,100.0,5380,12790,0,18170
532,Adilabad,532001,Talamadugu,1901006,K.Subash  Khodad,1,2023,39,491,0,530,116,1513,0,1629,1365,7565,0,8930,55,870,0,925,1310,6695,0,8005,0,0,0,0,0,100.0,1310,6695,0,8005
532,Adilabad,532001,Talamadugu,1901007,B.Swarupa  Ruyyadi,1,2023,9,543,0,552,35,1640,0,1675,315,8200,0,8515,0,1830,0,1830,315,6370,0,6685,0,0,0,0,0,100.0,315,6370,0,6685
532,Adilabad,532001,Talamadugu,1901008,Salesman.Bharath  Umri,1,2023,66,302,0,368,206,963,0,1169,2310,4815,0,7125,135,270,0,405,2175,4545,0,6720,0,0,0,0,0,100.0,2175,4545,0,6720
532,Adilabad,532001,Talamadugu,1901009,Salesman.Bharath  Palsi-B,1,2023,19,318,0,337,69,1175,0,1244,665,5875,0,6540,0,170,0,170,665,5705,0,6370,0,0,0,0,0,100.0,665,5705,0,6370
532,Adilabad,532001,Talamadugu,1901010,G.Jyothi  Bharampur,1,2023,118,805,0,923,400,2747,0,3147,4130,13735,0,17865,215,1290,0,1505,3915,12445,0,16360,0,0,0,0,0,100.0,3915,12445,0,16360
532,Adilabad,532001,Talamadugu,1901011,Ganganna  Khajjarla,1,2023,6,593,1,600,15,1846,1,1862,210,9230,10,9450,45,1350,10,1405,165,7880,0,8045,0,0,0,0,0,100.0,165,7880,0,8045
532,Adilabad,532001,Talamadugu,1901012,MD.Musa  Devapur,1,2023,29,834,0,863,73,2720,0,2793,1015,13600,0,14615,70,1670,0,1740,945,11930,0,12875,0,0,0,0,0,100.0,945,11930,0,12875
532,Adilabad,532001,Talamadugu,1901013,K.Ramulu  Palli -B,1,2023,23,429,0,452,70,1430,0,1500,805,7150,0,7955,55,800,0,855,750,6350,0,7100,0,0,0,0,0,100.0,750,6350,0,7100
532,Adilabad,532001,Talamadugu,1901014,A.Shyam Rao  Palli -K,1,2023,9,172,0,181,20,548,0,568,315,2740,0,3055,55,270,0,325,260,2470,0,2730,0,0,0,0,0,100.0,260,2470,0,2730
532,Adilabad,532001,Talamadugu,1901015,Kandi Narender  Arli -K,1,2023,70,351,0,421,249,1061,0,1310,2450,5305,0,7755,500,1020,0,1520,1950,4285,0,6235,0,0,0,0,0,100.0,1950,4285,0,6235
532,Adilabad,532001,Talamadugu,1901016,"Salesman.Pendur Laxman  Jhari,poonaguda",1,2023,50,814,0,864,177,2842,0,3019,1750,14210,0,15960,150,2340,0,2490,1600,11870,0,13470,0,0,0,0,0,100.0,1600,11870,0,13470
532,Adilabad,532002,Tamsi,1902001,"M.Yeshwanth Rao, Salesman  DR DEPOT TAMSI-B",1,2023,51,761,0,812,178,2329,0,2507,1785,11645,0,13430,0,1710,0,1710,1785,9935,0,11720,0,0,0,0,0,100.0,1785,9935,0,11720
