distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,Salesman.Pendur Laxman  Talamadugu,6,2023,39,1069,0,1108,131,3265,0,3396,1365,19590,0,20955,35,1884,0,1919,1330,17706,0,19036,0,0,0,0,0,100.0,1330,17706,0,19036
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,6,2023,19,565,0,584,66,1813,0,1879,665,10878,0,11543,0,1050,0,1050,665,9828,0,10493,0,0,0,0,0,100.0,665,9828,0,10493
532,Adilabad,532001,Talamadugu,1901003,Gajanan  Umdam,6,2023,17,276,0,293,60,895,0,955,595,5370,0,5965,70,600,0,670,525,4770,0,5295,0,0,0,0,0,100.0,525,4770,0,5295
532,Adilabad,532001,Talamadugu,1901004,R.Rakesh  Lingi,6,2023,14,390,1,405,45,1304,1,1350,490,7824,10,8324,0,689,0,689,490,7135,10,7635,0,0,0,0,0,100.0,490,7135,10,7635
532,Adilabad,532001,Talamadugu,1901005,Manohar  Kuchulapur,6,2023,155,816,0,971,525,2811,0,3336,5425,16866,0,22291,140,1170,0,1310,5285,15696,0,20981,0,0,0,0,0,100.0,5285,15696,0,20981
532,Adilabad,532001,Talamadugu,1901006,K.Subash  Khodad,6,2023,39,491,0,530,116,1510,0,1626,1365,9060,0,10425,105,252,0,357,1260,8808,0,10068,0,0,0,0,0,100.0,1260,8808,0,10068
532,Adilabad,532001,Talamadugu,1901007,B.Swarupa  Ruyyadi,6,2023,9,542,0,551,35,1638,0,1673,315,9828,0,10143,0,1098,0,1098,315,8730,0,9045,0,0,0,0,0,100.0,315,8730,0,9045
532,Adilabad,532001,Talamadugu,1901008,Salesman.Bharath  Umri,6,2023,66,302,0,368,206,963,0,1169,2310,5778,0,8088,35,132,0,167,2275,5646,0,7921,0,0,0,0,0,100.0,2275,5646,0,7921
532,Adilabad,532001,Talamadugu,1901009,Salesman.Bharath  Palsi-B,6,2023,19,318,0,337,69,1172,0,1241,665,7032,0,7697,40,337,0,377,625,6695,0,7320,0,0,0,0,0,100.0,625,6695,0,7320
532,Adilabad,532001,Talamadugu,1901010,G.Jyothi  Bharampur,6,2023,118,805,0,923,399,2740,0,3139,4130,16440,0,20570,105,618,0,723,4025,15822,0,19847,0,0,0,0,0,100.0,4025,15822,0,19847
532,Adilabad,532001,Talamadugu,1901011,Ganganna  Khajjarla,6,2023,6,593,1,600,15,1840,1,1856,210,11040,10,11260,0,1107,10,1117,210,9933,0,10143,0,0,0,0,0,100.0,210,9933,0,10143
532,Adilabad,532001,Talamadugu,1901012,MD.Musa  Devapur,6,2023,29,834,0,863,73,2709,0,2782,1015,16254,0,17269,210,1032,0,1242,805,15222,0,16027,0,0,0,0,0,100.0,805,15222,0,16027
532,Adilabad,532001,Talamadugu,1901013,K.Ramulu  Palli -B,6,2023,23,429,0,452,67,1426,0,1493,805,8556,0,9361,35,630,0,665,770,7926,0,8696,0,0,0,0,0,100.0,770,7926,0,8696
532,Adilabad,532001,Talamadugu,1901014,A.Shyam Rao  Palli -K,6,2023,9,172,0,181,20,545,0,565,315,3270,0,3585,35,198,0,233,280,3072,0,3352,0,0,0,0,0,100.0,280,3072,0,3352
532,Adilabad,532001,Talamadugu,1901015,Kandi Narender  Arli -K,6,2023,70,351,0,421,249,1061,0,1310,2450,6366,0,8816,525,1119,0,1644,1925,5247,0,7172,0,0,0,0,0,100.0,1925,5247,0,7172
532,Adilabad,532001,Talamadugu,1901016,"Salesman.Pendur Laxman  Jhari,poonaguda",6,2023,50,814,0,864,177,2835,0,3012,1750,17010,0,18760,140,1548,0,1688,1610,15462,0,17072,0,0,0,0,0,100.0,1610,15462,0,17072
532,Adilabad,532002,Tamsi,1902001,"M.Yeshwanth Rao, Salesman  DR DEPOT TAMSI-B",6,2023,51,760,0,811,177,2311,0,2488,1785,13866,0,15651,35,1152,0,1187,1750,12714,0,14464,0,0,0,0,0,100.0,1750,12714,0,14464
532,Adilabad,532002,Tamsi,1902002,"M.Yeshwanth Rao,Salesman  DR DEPOT  GIRGAON",6,2023,37,450,0,487,141,1640,0,1781,1295,9840,0,11135,35,990,0,1025,1260,8850,0,10110,0,0,0,0,0,100.0,1260,8850,0,10110
532,Adilabad,532002,Tamsi,1902003,S.BHUMANNA  1-78 WADDADI,6,2023,22,318,0,340,80,1011,0,1091,770,6066,0,6836,0,84,0,84,770,5982,0,6752,0,0,0,0,0,100.0,770,5982,0,6752
532,Adilabad,532002,Tamsi,1902004,A MOHAN  HASNAPUR,6,2023,11,233,0,244,39,680,0,719,385,4080,0,4465,0,50,0,50,385,4030,0,4415,0,0,0,0,0,100.0,385,4030,0,4415
532,Adilabad,532002,Tamsi,1902005,T.RUDRA DEVI  H.NO.2-47 PONNARI,6,2023,41,596,0,637,128,1856,0,1984,1435,11136,0,12571,35,291,0,326,1400,10845,0,12245,0,0,0,0,0,100.0,1400,10845,0,12245
532,Adilabad,532002,Tamsi,1902006,K.Bhagwandlu  KAPPARLA,6,2023,29,469,0,498,86,1519,0,1605,1015,9114,0,10129,105,1,0,106,910,9113,0,10023,0,0,0,0,0,100.0,910,9113,0,10023
532,Adilabad,532002,Tamsi,1902007,"K.ASHANNA  3-144, KHAPPARLA",6,2023,30,419,0,449,84,1273,0,1357,1050,7638,0,8688,105,1446,0,1551,945,6192,0,7137,0,0,0,0,0,100.0,945,6192,0,7137
532,Adilabad,532002,Tamsi,1902009,VIJAYA YELCHALWAR  BANDALNAGAPUR,6,2023,32,624,0,656,92,1865,0,1957,1120,11190,0,12310,35,654,0,689,1085,10536,0,11621,0,0,0,0,0,100.0,1085,10536,0,11621
532,Adilabad,532002,Tamsi,1902010,K. RAJITHA I/C  GHOTKURI,6,2023,24,351,0,375,83,954,0,1037,840,5724,0,6564,35,847,0,882,805,4877,0,5682,0,0,0,0,0,100.0,805,4877,0,5682
532,Adilabad,532002,Tamsi,1902011,K.RAJITHA  JAMDI,6,2023,25,331,0,356,75,1005,0,1080,875,6030,0,6905,105,366,0,471,770,5664,0,6434,0,0,0,0,0,100.0,770,5664,0,6434
532,Adilabad,532004,Jainad,1904001,T.Adella Bai  Jainath,6,2023,35,724,0,759,101,2120,0,2221,1225,12720,0,13945,70,1554,0,1624,1155,11166,0,12321,0,0,0,0,0,100.0,1155,11166,0,12321
532,Adilabad,532004,Jainad,1904002,Koppula Laxmi  Jainath,6,2023,48,654,0,702,130,1854,0,1984,1680,11124,0,12804,0,234,0,234,1680,10890,0,12570,0,0,0,0,0,100.0,1680,10890,0,12570
532,Adilabad,532004,Jainad,1904003,Dada Rao  Nirala,6,2023,21,469,0,490,67,1570,0,1637,735,9420,0,10155,0,846,0,846,735,8574,0,9309,0,0,0,0,0,100.0,735,8574,0,9309
532,Adilabad,532004,Jainad,1904004,A.Ganganna  Laxmipur,6,2023,30,517,0,547,95,1563,0,1658,1050,9378,0,10428,35,792,0,827,1015,8586,0,9601,0,0,0,0,0,100.0,1015,8586,0,9601
532,Adilabad,532004,Jainad,1904005,Goukar Waman (I/C)  Deepaiguda,6,2023,40,731,0,771,110,2098,0,2208,1400,12588,0,13988,35,1470,0,1505,1365,11118,0,12483,0,0,0,0,0,100.0,1365,11118,0,12483
532,Adilabad,532004,Jainad,1904006,Goukar Waman  Bahdurpur,6,2023,35,402,0,437,95,1136,0,1231,1225,6816,0,8041,0,216,0,216,1225,6600,0,7825,0,0,0,0,0,100.0,1225,6600,0,7825
532,Adilabad,532004,Jainad,1904007,Sama Sunitha  Kura,6,2023,35,419,0,454,113,1242,0,1355,1225,7452,0,8677,35,324,0,359,1190,7128,0,8318,0,0,0,0,0,100.0,1190,7128,0,8318
532,Adilabad,532004,Jainad,1904008,R.Ramanna I/C  Makoda,6,2023,15,192,0,207,43,545,0,588,525,3270,0,3795,0,90,0,90,525,3180,0,3705,0,0,0,0,0,100.0,525,3180,0,3705
532,Adilabad,532004,Jainad,1904009,M.Santosh  Belgaon,6,2023,24,362,0,386,60,1113,0,1173,840,6678,0,7518,35,828,0,863,805,5850,0,6655,0,0,0,0,0,100.0,805,5850,0,6655
532,Adilabad,532004,Jainad,1904010,K.Premala Bai  Khapri,6,2023,22,346,0,368,59,982,0,1041,770,5892,0,6662,105,1056,0,1161,665,4836,0,5501,0,0,0,0,0,100.0,665,4836,0,5501
532,Adilabad,532004,Jainad,1904011,Pothanna  Umri,6,2023,22,97,0,119,69,272,0,341,770,1632,0,2402,140,144,0,284,630,1488,0,2118,0,0,0,0,0,100.0,630,1488,0,2118
532,Adilabad,532004,Jainad,1904012,Sama Sunitha I/C  Karanji,6,2023,31,365,0,396,94,1172,0,1266,1085,7032,0,8117,70,1177,0,1247,1015,5855,0,6870,0,0,0,0,0,100.0,1015,5855,0,6870
532,Adilabad,532004,Jainad,1904013,B.Ashakka  Ada,6,2023,16,359,0,375,48,1031,0,1079,560,6186,0,6746,0,486,0,486,560,5700,0,6260,0,0,0,0,0,100.0,560,5700,0,6260
532,Adilabad,532004,Jainad,1904014,Sudham  Kamta,6,2023,20,278,0,298,65,814,0,879,700,4884,0,5584,0,360,0,360,700,4524,0,5224,0,0,0,0,0,100.0,700,4524,0,5224
532,Adilabad,532004,Jainad,1904015,R.Ramanna  Pippalgaon,6,2023,6,109,0,115,20,302,0,322,210,1812,0,2022,0,18,0,18,210,1794,0,2004,0,0,0,0,0,100.0,210,1794,0,2004
532,Adilabad,532004,Jainad,1904016,K.Kishan  Balapur,6,2023,51,577,0,628,157,1821,0,1978,1785,10926,0,12711,0,648,0,648,1785,10278,0,12063,0,0,0,0,0,100.0,1785,10278,0,12063
