distCode,distName,officeCode,officeName,shopNo,address,month,year,rcsAfsc,rcsFsc,rcsAap,totalRcs,unitsAfsc,unitsFsc,unitsAap,totalUnits,requirmentAfscQty,requirmentFscQty,requirmentAapcQty,totalReqQty,obAfscQty,obFscQty,obAapcQty,totalObQty,tobeAlloctedAfscQty,tobeAlloctedFscQty,tobeAlloctedAapcQty,totalTobeAllocatedQty,partialAllocatedPercentage,partialAllocatedAfscQty,partialAllocatedFscQty,partialAllocatedAapcQty,totalPartialAllocatedQty,finalAllocatedPercentage,finalAllocatedAfscQty,finalAllocatedFscQty,finalAllocatedAapcQty,totalFinalAllocatedQty
532,Adilabad,532001,Talamadugu,1901001,DR Depo TALAMADUGU  Talamadugu,12,2024,39,1069,0,1108,129,3259,0,3388,1365,19554,0,20919,35,2826,0,2861,1330,16728,0,18058,0,0,0,0,0,100.0,1330,16728,0,18058
532,Adilabad,532001,Talamadugu,1901002,Sunkari Ramesh  Sunkidi,12,2024,20,564,0,584,69,1804,0,1873,700,10824,0,11524,0,810,0,810,700,10014,0,10714,0,0,0,0,0,100.0,700,10014,0,10714
532,Adilabad,532001,Talamadugu,1901003,Sakipelli Gajanan  Umdam,12,2024,17,275,0,292,60,892,0,952,595,5352,0,5947,35,496,0,531,560,4856,0,5416,0,0,0,0,0,100.0,560,4856,0,5416
532,Adilabad,532001,Talamadugu,1901004,Rebbathi Rakesh  Lingi,12,2024,14,390,1,405,45,1297,1,1343,490,7782,10,8282,0,852,0,852,490,6930,10,7430,0,0,0,0,0,100.0,490,6930,10,7430
532,Adilabad,532001,Talamadugu,1901005,T Manohar  Kuchulapur,12,2024,155,815,0,970,520,2788,0,3308,5425,16728,0,22153,210,726,0,936,5215,16002,0,21217,0,0,0,0,0,100.0,5215,16002,0,21217
532,Adilabad,532001,Talamadugu,1901006,K Subash  Khodad,12,2024,40,490,0,530,122,1495,0,1617,1400,8970,0,10370,70,525,0,595,1330,8445,0,9775,0,0,0,0,0,100.0,1330,8445,0,9775
532,Adilabad,532001,Talamadugu,1901007,Bitla Swaroopa  Ruyyadi,12,2024,10,541,0,551,37,1630,0,1667,350,9780,0,10130,0,876,0,876,350,8904,0,9254,0,0,0,0,0,100.0,350,8904,0,9254
532,Adilabad,532001,Talamadugu,1901008,DR DEPO UMRI  Umri,12,2024,64,304,0,368,197,970,0,1167,2240,5820,0,8060,0,36,0,36,2240,5784,0,8024,0,0,0,0,0,100.0,2240,5784,0,8024
532,Adilabad,532001,Talamadugu,1901009,DR DEPO PALSI B  Palsi-B,12,2024,24,313,0,337,91,1148,0,1239,840,6888,0,7728,35,414,0,449,805,6474,0,7279,0,0,0,0,0,100.0,805,6474,0,7279
532,Adilabad,532001,Talamadugu,1901010,G Jyothi  Bharampur,12,2024,116,803,0,919,390,2731,0,3121,4060,16386,0,20446,35,6,0,41,4025,16380,0,20405,0,0,0,0,0,100.0,4025,16380,0,20405
532,Adilabad,532001,Talamadugu,1901011,Md Musa  Khajjarla,12,2024,9,590,1,600,28,1816,1,1845,315,10896,10,11221,35,1643,10,1688,280,9253,0,9533,0,0,0,0,0,100.0,280,9253,0,9533
532,Adilabad,532001,Talamadugu,1901012,Md Musa  Devapur,12,2024,28,835,0,863,72,2690,0,2762,980,16140,0,17120,70,522,0,592,910,15618,0,16528,0,0,0,0,0,100.0,910,15618,0,16528
532,Adilabad,532001,Talamadugu,1901013,K Ramulu  Palli -B,12,2024,25,427,0,452,83,1403,0,1486,875,8418,0,9293,0,564,0,564,875,7854,0,8729,0,0,0,0,0,100.0,875,7854,0,8729
532,Adilabad,532001,Talamadugu,1901014,A Shamrao  Palli -K,12,2024,9,172,0,181,20,544,0,564,315,3264,0,3579,35,174,0,209,280,3090,0,3370,0,0,0,0,0,100.0,280,3090,0,3370
532,Adilabad,532001,Talamadugu,1901015,Kandi Narendar  Arli -K,12,2024,64,357,0,421,234,1072,0,1306,2240,6432,0,8672,175,1290,0,1465,2065,5142,0,7207,0,0,0,0,0,100.0,2065,5142,0,7207
532,Adilabad,532001,Talamadugu,1901016,"DR DEPO PUNAGUDA  Jhari,poonaguda",12,2024,58,806,0,864,211,2795,0,3006,2030,16770,0,18800,175,1596,0,1771,1855,15174,0,17029,0,0,0,0,0,100.0,1855,15174,0,17029
532,Adilabad,532002,Tamsi,1902001,DR DEPO TAMSI-B  DR DEPOT TAMSI-B,12,2024,55,755,0,810,191,2272,0,2463,1925,13632,0,15557,35,1296,0,1331,1890,12336,0,14226,0,0,0,0,0,100.0,1890,12336,0,14226
532,Adilabad,532002,Tamsi,1902002,DR DEPO GIRGAON  DR DEPOT  GIRGAON,12,2024,39,448,0,487,150,1620,0,1770,1365,9720,0,11085,0,972,0,972,1365,8748,0,10113,0,0,0,0,0,100.0,1365,8748,0,10113
532,Adilabad,532002,Tamsi,1902003,Surram Bhumanna  1-78 WADDADI,12,2024,22,318,0,340,80,1004,0,1084,770,6024,0,6794,0,384,0,384,770,5640,0,6410,0,0,0,0,0,100.0,770,5640,0,6410
532,Adilabad,532002,Tamsi,1902004,A Mohan  HASNAPUR,12,2024,12,231,0,243,42,668,0,710,420,4008,0,4428,0,60,0,60,420,3948,0,4368,0,0,0,0,0,100.0,420,3948,0,4368
