distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532004,Jainad,1904009,M Santosh  Belgaon,78.702438,19.717650,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904010,Kusuma Premala Bai  Khapri,78.691619,19.749101,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904011,Akula Pothanna  Umri,78.711560,19.753110,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904012,Akula Pothanna  Karanji,78.696660,19.763600,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904013,B Ashamma  Ada,78.609550,19.696464,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904014,Sudamreddy Gummadi  Kamta,78.621306,19.692243,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904015,R Ramanna  Pippalgaon,78.655730,19.701870,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904020,Sidam Abhiman  Sankgvi -K,78.620813,19.796512,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532004,Jainad,1904021,N Durga  Kouta,78.640687,19.802754,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905001,DR Depo BELA  BELA,78.773343,19.717933,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905002,N RAMESH  BHADI,78.715427,19.697298,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905003,A MOHAN REDDY  SIRSANNA,78.719358,19.719934,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905004,B LATHA  GUDA,78.774283,19.757971,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905005,JAKKULA YOGESH  AWALPUR,78.724009,19.736599,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905006,Ch Shamala  Doptala,78.750709,19.715518,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532005,Bela,1905007,V Ravinder  Dahegoan,78.784010,19.738230,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
