distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532001,Talamadugu,1901001,4,2019,959,1141,1290.0,17977.0,0.0,0.0,0.0,0.0,485.0,33817.0,0.0,13
532,Adilabad,532001,Talamadugu,1901002,4,2019,534,538,595.0,10458.0,0.0,0.0,0.0,0.0,533.0,27043.0,0.0,13
532,Adilabad,532001,Talamadugu,1901003,4,2019,255,255,560.0,4662.0,0.0,0.0,0.0,0.0,253.0,12812.0,0.0,2
532,Adilabad,532001,Talamadugu,1901004,4,2019,371,376,490.0,7446.0,10.0,0.0,0.0,0.0,370.0,19036.0,0.0,8
532,Adilabad,532001,Talamadugu,1901005,4,2019,876,878,4655.0,16506.0,0.0,0.0,133.0,0.0,876.0,49236.5,0.0,12
532,Adilabad,532001,Talamadugu,1901006,4,2019,464,468,1295.0,8394.0,0.0,0.0,3.0,0.0,428.0,22569.5,0.0,8
532,Adilabad,532001,Talamadugu,1901007,4,2019,478,504,280.0,9228.0,0.0,0.0,1.0,0.0,478.0,23861.5,0.0,5
532,Adilabad,532001,Talamadugu,1901008,4,2019,301,301,2240.0,5532.0,0.0,0.0,0.0,0.0,41.0,9002.0,0.0,144
532,Adilabad,532001,Talamadugu,1901009,4,2019,307,308,654.0,6744.0,0.0,0.0,0.0,0.0,29.0,8268.0,0.0,4
532,Adilabad,532001,Talamadugu,1901010,4,2019,829,853,3570.0,15732.0,0.0,0.0,100.0,0.0,358.0,31392.0,0.0,22
532,Adilabad,532001,Talamadugu,1901011,4,2019,530,531,175.0,10440.0,0.0,0.0,5.0,0.0,530.0,26582.5,0.0,10
532,Adilabad,532001,Talamadugu,1901012,4,2019,765,769,1015.0,15394.0,0.0,0.0,0.0,0.0,758.0,39149.0,0.0,30
532,Adilabad,532001,Talamadugu,1901013,4,2019,394,412,770.0,7782.0,0.0,0.0,21.0,0.0,393.0,20625.5,0.0,15
532,Adilabad,532001,Talamadugu,1901014,4,2019,168,169,315.0,3180.0,0.0,0.0,9.0,0.0,168.0,8656.5,0.0,2
532,Adilabad,532001,Talamadugu,1901015,4,2019,362,362,2275.0,5880.0,0.0,0.0,64.0,0.0,362.0,19879.0,0.0,6
532,Adilabad,532001,Talamadugu,1901016,4,2019,787,790,1750.0,15930.0,0.0,0.0,0.0,0.0,174.0,22900.0,0.0,179
532,Adilabad,532002,Tamsi,1902001,4,2019,731,732,1715.0,13044.0,0.0,0.0,0.0,0.0,728.0,36599.0,0.0,20
532,Adilabad,532002,Tamsi,1902002,4,2019,432,432,1153.0,9474.0,0.0,0.0,0.0,0.0,431.0,23557.0,0.0,12
532,Adilabad,532002,Tamsi,1902003,4,2019,308,312,735.0,5652.0,0.0,0.0,21.0,0.0,279.0,15040.5,0.0,5
532,Adilabad,532002,Tamsi,1902004,4,2019,228,228,315.0,4002.0,0.0,0.0,9.0,0.0,228.0,11278.5,0.0,5
532,Adilabad,532002,Tamsi,1902005,4,2019,596,598,1400.0,10908.0,0.0,0.0,40.0,0.0,594.0,30668.0,0.0,20
532,Adilabad,532002,Tamsi,1902006,4,2019,471,471,911.0,8892.0,0.0,0.0,26.0,0.0,471.0,24284.0,0.0,8
532,Adilabad,532002,Tamsi,1902007,4,2019,396,396,946.0,7283.0,0.0,0.0,28.0,0.0,378.0,19947.0,0.0,16
532,Adilabad,532002,Tamsi,1902009,4,2019,584,585,1050.0,10374.0,0.0,0.0,30.0,0.0,584.0,29349.0,0.0,15
532,Adilabad,532002,Tamsi,1902010,4,2019,348,348,735.0,5616.0,0.0,0.0,21.0,0.0,348.0,17074.5,0.0,10
532,Adilabad,532002,Tamsi,1902011,4,2019,319,321,840.0,5604.0,0.0,0.0,22.0,0.0,316.0,16221.0,0.0,4
532,Adilabad,532004,Jainad,1904001,4,2019,681,681,1155.0,11928.0,0.0,0.0,33.0,0.0,681.0,33958.5,0.0,57
532,Adilabad,532004,Jainad,1904002,4,2019,656,660,1610.0,11292.0,0.0,0.0,46.0,0.0,646.0,32903.0,0.0,59
532,Adilabad,532004,Jainad,1904003,4,2019,441,442,665.0,8970.0,0.0,0.0,19.0,0.0,441.0,23121.5,0.0,9
532,Adilabad,532004,Jainad,1904004,4,2019,503,505,1050.0,8874.0,0.0,0.0,30.0,0.0,502.0,25389.0,0.0,11
532,Adilabad,532004,Jainad,1904005,4,2019,633,633,1190.0,11100.0,0.0,0.0,0.0,0.0,631.0,31220.0,0.0,5
532,Adilabad,532004,Jainad,1904006,4,2019,410,414,1225.0,6738.0,0.0,0.0,35.0,0.0,408.0,20675.5,0.0,15
532,Adilabad,532004,Jainad,1904007,4,2019,418,418,1155.0,7188.0,0.0,0.0,0.0,0.0,219.0,14913.0,0.0,10
532,Adilabad,532004,Jainad,1904008,4,2019,191,191,525.0,3318.0,0.0,0.0,15.0,0.0,191.0,9775.5,0.0,4
532,Adilabad,532004,Jainad,1904009,4,2019,332,333,840.0,6066.0,0.0,0.0,3.0,0.0,332.0,16906.5,0.0,10
532,Adilabad,532004,Jainad,1904010,4,2019,325,325,735.0,5436.0,0.0,0.0,0.0,0.0,322.0,15831.0,0.0,4
532,Adilabad,532004,Jainad,1904011,4,2019,105,106,654.0,1506.0,0.0,0.0,18.0,0.0,104.0,5523.0,0.0,2
532,Adilabad,532004,Jainad,1904012,4,2019,351,351,1050.0,6546.0,0.0,0.0,0.0,0.0,238.0,14736.0,0.0,5
532,Adilabad,532004,Jainad,1904013,4,2019,344,391,275.0,6084.0,0.0,0.0,8.0,0.0,334.0,16487.0,0.0,5
532,Adilabad,532004,Jainad,1904014,4,2019,272,273,595.0,4746.0,0.0,0.0,0.0,0.0,272.0,13501.0,0.0,4
532,Adilabad,532004,Jainad,1904015,4,2019,107,112,210.0,1848.0,0.0,0.0,6.0,0.0,107.0,5349.0,0.0,1
532,Adilabad,532004,Jainad,1904016,4,2019,574,582,1785.0,10632.0,0.0,0.0,51.0,0.0,554.0,29725.5,0.0,11
532,Adilabad,532004,Jainad,1904017,4,2019,210,210,315.0,3948.0,0.0,0.0,0.0,0.0,190.0,9963.0,0.0,7
532,Adilabad,532004,Jainad,1904018,4,2019,276,277,525.0,5094.0,0.0,0.0,0.0,0.0,276.0,13899.0,0.0,7
532,Adilabad,532004,Jainad,1904019,4,2019,574,579,1995.0,10008.0,0.0,0.0,57.0,0.0,574.0,29992.5,0.0,6
532,Adilabad,532004,Jainad,1904020,4,2019,356,357,1050.0,6168.0,0.0,0.0,0.0,0.0,355.0,17868.0,0.0,1
532,Adilabad,532004,Jainad,1904021,4,2019,425,426,1505.0,7128.0,0.0,0.0,0.0,0.0,425.0,21383.0,0.0,4
532,Adilabad,532004,Jainad,1904022,4,2019,266,268,245.0,4860.0,0.0,0.0,7.0,0.0,266.0,13179.5,0.0,12
532,Adilabad,532004,Jainad,1904023,4,2019,112,112,280.0,1974.0,0.0,0.0,8.0,0.0,111.0,5692.0,0.0,4
532,Adilabad,532004,Jainad,1904024,4,2019,287,288,0.0,5274.0,0.0,0.0,0.0,0.0,286.0,13854.0,0.0,10
532,Adilabad,532004,Jainad,1904025,4,2019,584,584,315.0,11580.0,0.0,0.0,9.0,0.0,584.0,29536.5,0.0,17
532,Adilabad,532004,Jainad,1904026,4,2019,198,200,385.0,3648.0,0.0,0.0,0.0,0.0,197.0,9943.0,0.0,6
532,Adilabad,532004,Jainad,1904027,4,2019,598,598,35.0,11364.0,0.0,0.0,0.0,0.0,598.0,29339.0,0.0,11
532,Adilabad,532004,Jainad,1904028,4,2019,199,200,280.0,3438.0,0.0,0.0,0.0,0.0,199.0,9688.0,0.0,1
532,Adilabad,532004,Jainad,1904029,4,2019,302,302,665.0,5130.0,0.0,0.0,0.0,0.0,299.0,14765.0,0.0,3
532,Adilabad,532004,Jainad,1904030,4,2019,169,170,455.0,2760.0,0.0,0.0,13.0,0.0,168.0,8430.5,0.0,2
532,Adilabad,532004,Jainad,1904031,4,2019,341,343,980.0,5928.0,0.0,0.0,26.0,0.0,204.0,13379.0,0.0,14
532,Adilabad,532004,Jainad,1904032,4,2019,410,412,735.0,7770.0,0.0,0.0,21.0,0.0,409.0,21058.5,0.0,9
532,Adilabad,532004,Jainad,1904033,4,2019,191,191,175.0,3498.0,0.0,0.0,5.0,0.0,191.0,9470.5,0.0,10
532,Adilabad,532004,Jainad,1904034,4,2019,296,296,280.0,5262.0,0.0,0.0,8.0,0.0,295.0,14500.0,0.0,1
532,Adilabad,532004,Jainad,1904035,4,2019,252,257,1190.0,4656.0,0.0,0.0,7.0,0.0,251.0,13470.5,0.0,6
532,Adilabad,532004,Jainad,1904036,4,2019,171,171,735.0,2616.0,0.0,0.0,20.0,0.0,171.0,8751.0,0.0,4
532,Adilabad,532004,Jainad,1904037,4,2019,552,553,525.0,9960.0,0.0,0.0,0.0,0.0,468.0,24525.0,0.0,8
532,Adilabad,532005,Bela,1905001,4,2019,1140,1151,2240.0,22404.0,0.0,0.0,0.0,0.0,1135.0,58694.0,0.0,37
532,Adilabad,532005,Bela,1905002,4,2019,381,382,140.0,7991.0,0.0,0.0,0.0,0.0,379.0,19501.0,0.0,15
