distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532001,Talamadugu,1901001,12,2024,934,935,1365.0,17088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
532,Adilabad,532001,Talamadugu,1901002,12,2024,519,519,700.0,9780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532001,Talamadugu,1901003,12,2024,276,276,560.0,5060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532001,Talamadugu,1901004,12,2024,362,365,490.0,7062.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532001,Talamadugu,1901005,12,2024,912,914,5250.0,16050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
532,Adilabad,532001,Talamadugu,1901006,12,2024,479,483,1295.0,8377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
532,Adilabad,532001,Talamadugu,1901007,12,2024,486,489,350.0,8808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532001,Talamadugu,1901008,12,2024,353,356,2240.0,5766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532001,Talamadugu,1901009,12,2024,309,309,770.0,6498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532001,Talamadugu,1901010,12,2024,889,896,3955.0,16260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
532,Adilabad,532001,Talamadugu,1901011,12,2024,505,505,280.0,9288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532001,Talamadugu,1901012,12,2024,810,812,945.0,15426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
532,Adilabad,532001,Talamadugu,1901013,12,2024,428,429,875.0,7848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532001,Talamadugu,1901014,12,2024,164,164,280.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
532,Adilabad,532001,Talamadugu,1901015,12,2024,339,339,2100.0,5178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
532,Adilabad,532001,Talamadugu,1901016,12,2024,769,770,1890.0,15132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
532,Adilabad,532002,Tamsi,1902001,12,2024,702,702,1855.0,12396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
532,Adilabad,532002,Tamsi,1902002,12,2024,455,456,1365.0,8844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
532,Adilabad,532002,Tamsi,1902003,12,2024,325,326,735.0,5832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
532,Adilabad,532002,Tamsi,1902004,12,2024,233,233,420.0,3912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532002,Tamsi,1902005,12,2024,602,602,1435.0,10752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
532,Adilabad,532002,Tamsi,1902006,12,2024,476,476,980.0,8742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
532,Adilabad,532002,Tamsi,1902007,12,2024,404,406,1015.0,7050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
532,Adilabad,532002,Tamsi,1902009,12,2024,610,610,1120.0,10644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
532,Adilabad,532002,Tamsi,1902010,12,2024,318,318,875.0,4956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532002,Tamsi,1902011,12,2024,321,322,980.0,5382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532004,Jainad,1904001,12,2024,674,705,1225.0,11406.0,0.0,0.0,29.0,0.0,0.0,391.5,0.0,88
532,Adilabad,532004,Jainad,1904002,12,2024,686,697,1680.0,11010.0,0.0,0.0,48.0,0.0,0.0,648.0,0.0,112
532,Adilabad,532004,Jainad,1904003,12,2024,425,427,735.0,8346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532004,Jainad,1904004,12,2024,496,497,1050.0,8490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532004,Jainad,1904005,12,2024,646,648,1435.0,10740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532004,Jainad,1904006,12,2024,413,413,1155.0,6576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
532,Adilabad,532004,Jainad,1904007,12,2024,405,406,1155.0,6726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
532,Adilabad,532004,Jainad,1904008,12,2024,190,191,455.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
532,Adilabad,532004,Jainad,1904009,12,2024,337,337,735.0,5826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
532,Adilabad,532004,Jainad,1904010,12,2024,305,305,735.0,4908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532004,Jainad,1904011,12,2024,112,113,665.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
532,Adilabad,532004,Jainad,1904012,12,2024,322,323,1015.0,5826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
532,Adilabad,532004,Jainad,1904013,12,2024,339,340,525.0,5748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
532,Adilabad,532004,Jainad,1904014,12,2024,264,264,700.0,4464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
